# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
106 0.0524721 0.0524302 0.052318 0.15722
107 0.0534486 0.0534054 0.0532913 0.160145
108 0.0544338 0.0543892 0.0542732 0.163096
109 0.0554276 0.0553817 0.0552638 0.166073
110 0.0564301 0.0563827 0.056263 0.169076
111 0.0574412 0.0573924 0.0572708 0.172104
112 0.0584609 0.0584107 0.0582871 0.175159
113 0.0594893 0.0594376 0.0593121 0.178239
114 0.0605263 0.0604731 0.0603456 0.181345
115 0.061572 0.0615172 0.0613877 0.184477
116 0.0626262 0.0625699 0.0624384 0.187634
117 0.063689 0.0636311 0.0634976 0.190818
118 0.0647604 0.0647009 0.0645653 0.194027
119 0.0658404 0.0657793 0.0656416 0.197261
120 0.066929 0.0668662 0.0667264 0.200522
121 0.0680262 0.0679616 0.0678198 0.203808
122 0.0691319 0.0690656 0.0689216 0.207119
123 0.0702461 0.0701781 0.070032 0.210456
124 0.0713689 0.0712991 0.0711508 0.213819
125 0.0725002 0.0724287 0.0722782 0.217207
126 0.0736401 0.0735667 0.0734141 0.220621
127 0.0747885 0.0747132 0.0745584 0.22406
128 0.0759453 0.0758683 0.0757112 0.227525
129 0.0771107 0.0770318 0.0768725 0.231015
130 0.0782846 0.0782038 0.0780423 0.234531
131 0.0794669 0.0793842 0.0792205 0.238072
132 0.0806577 0.0805732 0.0804072 0.241638
133 0.081857 0.0817705 0.0816023 0.24523
134 0.0830648 0.0829764 0.0828059 0.248847
135 0.0842809 0.0841906 0.0840179 0.252489
136 0.0855056 0.0854133 0.0852384 0.256157
137 0.0867386 0.0866444 0.0864673 0.25985
138 0.0879801 0.087884 0.0877045 0.263569
139 0.0892299 0.0891319 0.0889503 0.267312
140 0.0904882 0.0903883 0.0902044 0.271081
141 0.0917549 0.091653 0.0914669 0.274875
142 0.09303 0.0929262 0.0927378 0.278694
143 0.0943135 0.0942077 0.0940171 0.282538
144 0.0956053 0.0954976 0.0953048 0.286408
145 0.0969055 0.0967959 0.0966008 0.290302
146 0.0982141 0.0981025 0.0979052 0.294222
147 0.0995311 0.0994175 0.099218 0.298167
148 0.100856 0.100741 0.100539 0.302136
149 0.10219 0.102072 0.101869 0.306131
150 0.103532 0.103412 0.103206 0.310151
151 0.104882 0.104761 0.104553 0.314196
152 0.106241 0.106117 0.105907 0.318266
153 0.107608 0.107482 0.10727 0.32236
154 0.108983 0.108856 0.108641 0.32648
155 0.110367 0.110237 0.11002 0.330625
156 0.111759 0.111627 0.111408 0.334794
157 0.113159 0.113025 0.112804 0.338989
158 0.114568 0.114432 0.114209 0.343208
159 0.115985 0.115846 0.115621 0.347452
160 0.11741 0.117269 0.117042 0.351721
161 0.118843 0.1187 0.118471 0.356015
162 0.120285 0.12014 0.119909 0.360333
163 0.121735 0.121588 0.121354 0.364677
164 0.123193 0.123044 0.122808 0.369045
165 0.124659 0.124508 0.12427 0.373437
166 0.126134 0.12598 0.125741 0.377855
167 0.127617 0.127461 0.12722 0.382297
168 0.129108 0.12895 0.128706 0.386764
169 0.130607 0.130447 0.130202 0.391256
170 0.132115 0.131952 0.131705 0.395772
171 0.133631 0.133466 0.133216 0.400313
172 0.135155 0.134987 0.134736 0.404878
173 0.136687 0.136517 0.136264 0.409468
174 0.138227 0.138055 0.1378 0.414083
175 0.139776 0.139602 0.139345 0.418722
176 0.141332 0.141156 0.140897 0.423386
177 0.142897 0.142719 0.142458 0.428074
178 0.14447 0.14429 0.144027 0.432787
179 0.146051 0.145869 0.145604 0.437524
180 0.147641 0.147456 0.147189 0.442286
181 0.149238 0.149052 0.148782 0.447072
182 0.150844 0.150655 0.150384 0.451883
183 0.152458 0.152267 0.151994 0.456718
184 0.15408 0.153887 0.153611 0.461578
185 0.15571 0.155514 0.155237 0.466462
186 0.157348 0.157151 0.156872 0.47137
187 0.158994 0.158795 0.158514 0.476303
188 0.160649 0.160447 0.160164 0.48126
189 0.162311 0.162108 0.161823 0.486242
190 0.163982 0.163776 0.16349 0.491248
191 0.165661 0.165453 0.165165 0.496278
192 0.167348 0.167138 0.166848 0.501333
193 0.169043 0.16883 0.168539 0.506412
194 0.170745 0.170531 0.170238 0.511515
195 0.172457 0.17224 0.171946 0.516642
196 0.174176 0.173957 0.173661 0.521794
197 0.175903 0.175682 0.175385 0.52697
198 0.177638 0.177416 0.177116 0.53217
199 0.179381 0.179157 0.178856 0.537394
200 0.181133 0.180906 0.180604 0.542642
201 0.182892 0.182663 0.18236 0.547915
202 0.184659 0.184428 0.184124 0.553212
203 0.186434 0.186202 0.185896 0.558532
204 0.188218 0.187983 0.187676 0.563877
205 0.190009 0.189772 0.189464 0.569246
206 0.191808 0.191569 0.191261 0.574638
207 0.193616 0.193375 0.193065 0.580055
208 0.195431 0.195188 0.194877 0.585496
209 0.197254 0.197009 0.196697 0.590961
210 0.199085 0.198838 0.198526 0.596449
211 0.200924 0.200675 0.200362 0.601962
212 0.202771 0.20252 0.202206 0.607498
213 0.204626 0.204373 0.204059 0.613058
214 0.206489 0.206234 0.205919 0.618642
215 0.20836 0.208103 0.207787 0.62425
216 0.210239 0.209979 0.209663 0.629882
217 0.212126 0.211864 0.211547 0.635537
218 0.21402 0.213756 0.21344 0.641216
219 0.215923 0.215656 0.21534 0.646919
220 0.217833 0.217565 0.217247 0.652645
221 0.219752 0.219481 0.219163 0.658396
222 0.221678 0.221405 0.221087 0.664169
223 0.223612 0.223336 0.223019 0.669967
224 0.225554 0.225276 0.224958 0.675788
225 0.227504 0.227224 0.226906 0.681633
226 0.229461 0.229179 0.228861 0.687501
227 0.231427 0.231142 0.230824 0.693393
228 0.2334 0.233113 0.232795 0.699309
229 0.235382 0.235092 0.234774 0.705248
230 0.237371 0.237078 0.236761 0.71121
231 0.239368 0.239073 0.238756 0.717196
232 0.241373 0.241075 0.240758 0.723206
233 0.243385 0.243085 0.242769 0.729239
234 0.245406 0.245103 0.244787 0.735296
235 0.247434 0.247129 0.246813 0.741376
236 0.24947 0.249162 0.248847 0.747479
237 0.251514 0.251203 0.250888 0.753606
238 0.253566 0.253252 0.252938 0.759756
239 0.255626 0.255309 0.254995 0.76593
240 0.257693 0.257374 0.25706 0.772127
241 0.259768 0.259446 0.259133 0.778347
242 0.261851 0.261526 0.261213 0.784591
243 0.263942 0.263614 0.263302 0.790858
244 0.26604 0.26571 0.265398 0.797148
245 0.268147 0.267813 0.267502 0.803461
246 0.270261 0.269924 0.269613 0.809798
247 0.272382 0.272043 0.271733 0.816158
248 0.274512 0.274169 0.27386 0.822541
249 0.276649 0.276304 0.275995 0.828948
250 0.278794 0.278446 0.278137 0.835378
251 0.280947 0.280595 0.280288 0.84183
252 0.283108 0.282753 0.282446 0.848306
253 0.285276 0.284918 0.284611 0.854805
254 0.287452 0.287091 0.286785 0.861327
255 0.289636 0.289271 0.288966 0.867873
256 0.291827 0.291459 0.291155 0.874441
257 0.294026 0.293655 0.293351 0.881032
258 0.296233 0.295858 0.295555 0.887646
259 0.298447 0.298069 0.297767 0.894284
260 0.300669 0.300288 0.299987 0.900944
261 0.302899 0.302514 0.302214 0.907627
262 0.305137 0.304748 0.304449 0.914334
263 0.307382 0.30699 0.306691 0.921063
264 0.309635 0.309239 0.308942 0.927815
265 0.311895 0.311495 0.311199 0.93459
266 0.314163 0.31376 0.313465 0.941387
267 0.316439 0.316032 0.315738 0.948208
268 0.318722 0.318311 0.318019 0.955052
269 0.321013 0.320598 0.320307 0.961918
