# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
105 0.0283075 0.0282942 0.028273 0.0848748
106 0.0286419 0.0286271 0.0286066 0.0858756
107 0.0289759 0.0289597 0.0289397 0.0868754
108 0.0293096 0.029292 0.0292725 0.0878741
109 0.0296428 0.0296239 0.0296049 0.0888717
110 0.0299757 0.0299555 0.029937 0.0898682
111 0.0303082 0.0302868 0.0302687 0.0908637
112 0.0306403 0.0306178 0.0306 0.0918582
113 0.0309721 0.0309486 0.030931 0.0928516
114 0.0313036 0.031279 0.0312616 0.0938441
115 0.0316347 0.0316091 0.0315919 0.0948357
116 0.0319655 0.031939 0.0319218 0.0958262
117 0.0322959 0.0322686 0.0322514 0.0968159
118 0.0326261 0.0325979 0.0325807 0.0978047
119 0.0329559 0.032927 0.0329096 0.0987926
120 0.0332855 0.0332559 0.0332383 0.0997796
121 0.0336147 0.0335845 0.0335666 0.100766
122 0.0339437 0.0339128 0.0338947 0.101751
123 0.0342725 0.0342409 0.0342224 0.102736
124 0.0346009 0.0345688 0.0345499 0.10372
125 0.0349291 0.0348965 0.0348772 0.104703
126 0.0352571 0.0352239 0.0352041 0.105685
127 0.0355849 0.0355511 0.0355309 0.106667
128 0.0359124 0.0358781 0.0358573 0.107648
129 0.0362398 0.0362049 0.0361836 0.108628
130 0.0365669 0.0365315 0.0365096 0.109608
131 0.0368939 0.0368579 0.0368354 0.110587
132 0.0372207 0.0371842 0.037161 0.111566
133 0.0375474 0.0375102 0.0374864 0.112544
134 0.0378739 0.037836 0.0378116 0.113521
135 0.0382002 0.0381617 0.0381366 0.114499
136 0.0385265 0.0384873 0.0384615 0.115475
137 0.0388526 0.0388127 0.0387862 0.116451
138 0.0391786 0.0391379 0.0391107 0.117427
139 0.0395045 0.0394631 0.0394351 0.118403
140 0.0398304 0.0397881 0.0397594 0.119378
141 0.0401561 0.0401131 0.0400836 0.120353
142 0.0404818 0.0404379 0.0404076 0.121327
143 0.0408075 0.0407627 0.0407316 0.122302
144 0.041133 0.0410873 0.0410555 0.123276
145 0.0414585 0.041412 0.0413793 0.12425
146 0.041784 0.0417366 0.041703 0.125224
147 0.0421094 0.0420611 0.0420267 0.126197
148 0.0424348 0.0423856 0.0423504 0.127171
149 0.0427602 0.0427101 0.042674 0.128144
150 0.0430855 0.0430345 0.0429975 0.129118
151 0.0434108 0.043359 0.043321 0.130091
152 0.0437361 0.0436834 0.0436445 0.131064
153 0.0440614 0.0440079 0.043968 0.132037
154 0.0443866 0.0443324 0.0442914 0.13301
155 0.0447119 0.0446568 0.0446148 0.133983
156 0.0450371 0.0449813 0.0449382 0.134957
157 0.0453623 0.0453058 0.0452616 0.13593
158 0.0456874 0.0456303 0.0455849 0.136903
159 0.0460125 0.0459549 0.0459083 0.137876
160 0.0463377 0.0462795 0.0462316 0.138849
161 0.0466627 0.046604 0.0465549 0.139822
162 0.0469878 0.0469287 0.0468783 0.140795
163 0.0473128 0.0472533 0.0472016 0.141768
164 0.0476377 0.047578 0.0475248 0.142741
165 0.0479627 0.0479026 0.0478481 0.143713
166 0.0482875 0.0482273 0.0481714 0.144686
167 0.0486124 0.048552 0.0484946 0.145659
168 0.0489372 0.0488768 0.0488178 0.146632
169 0.0492619 0.0492015 0.0491411 0.147604
170 0.0495866 0.0495262 0.0494643 0.148577
171 0.0499112 0.049851 0.0497874 0.14955
172 0.0502357 0.0501757 0.0501106 0.150522
173 0.0505602 0.0505005 0.0504337 0.151494
174 0.0508847 0.0508253 0.0507568 0.152467
175 0.051209 0.05115 0.0510799 0.153439
176 0.0515333 0.0514747 0.0514029 0.154411
177 0.0518575 0.0517994 0.0517259 0.155383
178 0.0521816 0.0521241 0.0520489 0.156355
179 0.0525056 0.0524488 0.0523718 0.157326
180 0.0528296 0.0527734 0.0526947 0.158298
181 0.0531534 0.053098 0.0530175 0.159269
182 0.0534772 0.0534226 0.0533403 0.16024
183 0.0538008 0.053747 0.053663 0.161211
184 0.0541244 0.0540715 0.0539857 0.162182
185 0.0544479 0.0543958 0.0543084 0.163152
186 0.0547712 0.0547202 0.054631 0.164122
187 0.0550945 0.0550444 0.0549535 0.165092
188 0.0554177 0.0553686 0.055276 0.166062
189 0.0557407 0.0556927 0.0555985 0.167032
190 0.0560637 0.0560167 0.055921 0.168001
191 0.0563866 0.0563406 0.0562434 0.168971
192 0.0567093 0.0566644 0.0565658 0.16994
193 0.057032 0.0569882 0.0568882 0.170908
194 0.0573546 0.0573119 0.0572105 0.171877
195 0.0576771 0.0576354 0.0575328 0.172845
196 0.0579996 0.0579589 0.0578552 0.173814
197 0.0583219 0.0582823 0.0581775 0.174782
198 0.0586442 0.0586056 0.0584998 0.17575
199 0.0589664 0.0589288 0.0588221 0.176717
200 0.0592886 0.0592518 0.0591445 0.177685
201 0.0596107 0.0595748 0.0594668 0.178652
202 0.0599328 0.0598977 0.0597892 0.17962
203 0.0602549 0.0602206 0.0601115 0.180587
204 0.0605769 0.0605433 0.060434 0.181554
205 0.0608989 0.0608659 0.0607564 0.182521
206 0.0612208 0.0611885 0.0610789 0.183488
207 0.0615428 0.0615109 0.0614014 0.184455
208 0.0618647 0.0618333 0.0617239 0.185422
209 0.0621866 0.0621556 0.0620465 0.186389
210 0.0625085 0.0624779 0.0623691 0.187356
211 0.0628304 0.0628001 0.0626918 0.188322
212 0.0631523 0.0631222 0.0630145 0.189289
213 0.0634742 0.0634443 0.0633372 0.190256
214 0.0637961 0.0637664 0.06366 0.191222
215 0.064118 0.0640884 0.0639828 0.192189
216 0.0644398 0.0644103 0.0643056 0.193156
217 0.0647617 0.0647323 0.0646284 0.194122
218 0.0650835 0.0650542 0.0649513 0.195089
219 0.0654054 0.065376 0.0652741 0.196056
220 0.0657272 0.0656979 0.065597 0.197022
221 0.066049 0.0660197 0.0659198 0.197989
222 0.0663707 0.0663416 0.0662427 0.198955
223 0.0666925 0.0666634 0.0665655 0.199921
224 0.0670142 0.0669853 0.0668883 0.200888
225 0.0673359 0.0673071 0.0672111 0.201854
226 0.0676575 0.067629 0.0675339 0.20282
227 0.0679791 0.0679508 0.0678566 0.203787
228 0.0683007 0.0682727 0.0681792 0.204753
229 0.0686223 0.0685945 0.0685018 0.205719
230 0.0689438 0.0689164 0.0688244 0.206685
231 0.0692653 0.0692383 0.0691469 0.207651
232 0.0695868 0.0695602 0.0694694 0.208616
233 0.0699083 0.0698821 0.0697918 0.209582
234 0.0702297 0.070204 0.0701141 0.210548
235 0.0705512 0.0705259 0.0704364 0.211513
236 0.0708726 0.0708478 0.0707586 0.212479
237 0.071194 0.0711698 0.0710807 0.213445
238 0.0715155 0.0714917 0.0714028 0.21441
239 0.0718369 0.0718136 0.0717248 0.215375
240 0.0721584 0.0721356 0.0720468 0.216341
241 0.0724799 0.0724575 0.0723687 0.217306
242 0.0728015 0.0727794 0.0726905 0.218271
243 0.073123 0.0731013 0.0730123 0.219237
244 0.0734446 0.0734232 0.0733341 0.220202
245 0.0737663 0.0737451 0.0736557 0.221167
246 0.074088 0.074067 0.0739774 0.222132
247 0.0744098 0.0743889 0.074299 0.223098
248 0.0747316 0.0747108 0.0746205 0.224063
249 0.0750535 0.0750327 0.074942 0.225028
250 0.0753754 0.0753546 0.0752634 0.225993
251 0.0756974 0.0756765 0.0755849 0.226959
252 0.0760195 0.0759984 0.0759063 0.227924
253 0.0763416 0.0763203 0.0762276 0.22889
254 0.0766637 0.0766423 0.076549 0.229855
