# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
111 -0.0417711 -0.0413759 -0.0399962 -0.123143
112 -0.040678 -0.0402755 -0.0389382 -0.119892
113 -0.039559 -0.0391524 -0.0378605 -0.116572
114 -0.0384188 -0.0380116 -0.0367676 -0.113198
115 -0.0372619 -0.0368577 -0.0356635 -0.109783
116 -0.0360924 -0.0356952 -0.0345522 -0.10634
117 -0.0349144 -0.0345281 -0.0334373 -0.10288
118 -0.0337311 -0.0333603 -0.0323224 -0.0994138
119 -0.0325459 -0.0321956 -0.0312107 -0.0959523
120 -0.0313618 -0.0310373 -0.0301055 -0.0925046
121 -0.0301814 -0.0298888 -0.0290095 -0.0890797
122 -0.0290073 -0.028753 -0.0279255 -0.0856858
123 -0.027842 -0.0276328 -0.026856 -0.0823307
124 -0.0266876 -0.0265307 -0.0258032 -0.0790215
125 -0.0255465 -0.0254492 -0.0247693 -0.0757649
126 -0.0244207 -0.0243903 -0.0237561 -0.072567
127 -0.0233123 -0.0233556 -0.0227652 -0.0694332
128 -0.0222233 -0.0223469 -0.0217983 -0.0663685
129 -0.0211555 -0.0213652 -0.0208565 -0.0633772
130 -0.0201107 -0.0204116 -0.019941 -0.0604632
131 -0.0190904 -0.0194869 -0.0190523 -0.0576297
132 -0.0180959 -0.0185919 -0.0181913 -0.0548791
133 -0.0171285 -0.0177272 -0.017358 -0.0522137
134 -0.0161889 -0.0168932 -0.0165527 -0.0496348
135 -0.015278 -0.0160903 -0.015775 -0.0471433
136 -0.0143963 -0.015319 -0.0150246 -0.0447399
137 -0.013544 -0.0145794 -0.0143009 -0.0424244
138 -0.0127214 -0.0138716 -0.0136032 -0.0401963
139 -0.0119284 -0.0131955 -0.0129308 -0.0380547
140 -0.0111648 -0.012551 -0.0122827 -0.0359985
141 -0.0104303 -0.0119377 -0.0116582 -0.0340261
142 -0.00972434 -0.011355 -0.0110564 -0.0321357
143 -0.00904649 -0.0108022 -0.0104767 -0.0303254
144 -0.00839609 -0.0102786 -0.00991835 -0.0285931
145 -0.0077725 -0.00978324 -0.00938091 -0.0269367
146 -0.00717508 -0.00931508 -0.00886394 -0.0253541
147 -0.00660319 -0.00887305 -0.00836711 -0.0238433
148 -0.00605629 -0.00845606 -0.00789016 -0.0224025
149 -0.00553385 -0.00806304 -0.00743292 -0.0210298
150 -0.00503544 -0.00769293 -0.00699524 -0.0197236
151 -0.00456072 -0.00734472 -0.00657699 -0.0184824
152 -0.0041094 -0.00701747 -0.00617802 -0.0173049
153 -0.00368124 -0.00671028 -0.00579817 -0.0161897
154 -0.00327605 -0.00642231 -0.00543728 -0.0151356
155 -0.00289366 -0.00615274 -0.0050951 -0.0141415
156 -0.00253389 -0.00590079 -0.00477141 -0.0132061
157 -0.00219654 -0.00566571 -0.00446587 -0.0123281
158 -0.00188138 -0.00544672 -0.00417811 -0.0115062
159 -0.00158811 -0.00524307 -0.00390771 -0.0107389
160 -0.00131636 -0.00505399 -0.00365415 -0.0100245
161 -0.00106569 -0.00487866 -0.00341689 -0.00936124
162 -0.000835597 -0.00471626 -0.00319538 -0.00874724
163 -0.000625494 -0.00456595 -0.00298908 -0.00818052
164 -0.000434732 -0.00442686 -0.00279748 -0.00765908
165 -0.000262612 -0.00429817 -0.00262014 -0.00718092
166 -0.000108403 -0.00417906 -0.00245665 -0.00674411
167 2.86688e-05 -0.00406878 -0.00230668 -0.00634679
168 0.000149395 -0.00396668 -0.00216992 -0.00598721
169 0.000254582 -0.00387218 -0.00204612 -0.00566372
170 0.000345031 -0.0037848 -0.00193501 -0.00537478
171 0.000421534 -0.00370413 -0.00183636 -0.00511896
