# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
107 -0.00858628 -0.012866 -0.0136803 -0.0351325
108 -0.00900398 -0.0133053 -0.0141767 -0.036486
109 -0.00951558 -0.0138145 -0.0147504 -0.0380805
110 -0.0100752 -0.0143485 -0.0153555 -0.0397792
111 -0.0106388 -0.0148641 -0.0159479 -0.0414508
112 -0.0111644 -0.0153203 -0.0164857 -0.0429704
113 -0.0116127 -0.0156786 -0.0169293 -0.0442205
114 -0.0119466 -0.0159031 -0.0172417 -0.0450913
115 -0.0121321 -0.0159605 -0.0173889 -0.0454815
116 -0.012138 -0.0158208 -0.0173395 -0.0452983
117 -0.0119361 -0.0154567 -0.0170655 -0.0444583
118 -0.0115013 -0.0148446 -0.0165419 -0.0428878
119 -0.0108118 -0.0139638 -0.0157469 -0.0405226
120 -0.00984892 -0.0127974 -0.0146623 -0.0373087
121 -0.0085973 -0.0113317 -0.0132732 -0.0332022
122 -0.007045 -0.0095566 -0.0115681 -0.0281697
123 -0.00518349 -0.00746563 -0.00953894 -0.0221881
124 -0.00300766 -0.00505568 -0.00718129 -0.0152446
125 -0.000515886 -0.00232711 -0.00449399 -0.00733698
126 0.00229002 0.000716413 -0.0014793 0.00152713
127 0.00540482 0.00406798 0.00185719 0.01133
128 0.00881993 0.00771761 0.00550663 0.0220442
129 0.0125235 0.0116524 0.00945695 0.0336329
130 0.0165006 0.0158567 0.013693 0.0460503
131 0.0207334 0.0203123 0.0181966 0.0592423
132 0.0252013 0.0249985 0.0229466 0.0731464
133 0.0298815 0.0298922 0.0279195 0.0876932
134 0.0347487 0.0349685 0.0330888 0.102806
135 0.039776 0.0402002 0.0384262 0.118402
136 0.0449346 0.0455586 0.0439012 0.134394
137 0.0501946 0.0510132 0.0494815 0.150689
138 0.0555246 0.0565323 0.0551335 0.16719
139 0.0608927 0.0620832 0.0608226 0.183798
140 0.0662659 0.0676322 0.0665131 0.200411
141 0.0716111 0.0731453 0.0721693 0.216926
142 0.0768949 0.078588 0.0777551 0.233238
143 0.0820838 0.0839259 0.0832345 0.249244
144 0.0871447 0.0891246 0.0885723 0.264842
145 0.0920447 0.0941505 0.0937337 0.279929
146 0.0967519 0.0989704 0.0986851 0.294407
147 0.101235 0.103552 0.103394 0.308181
148 0.105463 0.107865 0.10783 0.321158
149 0.109408 0.111879 0.111963 0.333249
150 0.113041 0.115566 0.115765 0.344372
151 0.116336 0.118899 0.119212 0.354447
152 0.119269 0.121856 0.122278 0.363403
153 0.121818 0.124413 0.124942 0.371172
154 0.123961 0.126551 0.127185 0.377696
155 0.125681 0.128252 0.128989 0.382922
156 0.126963 0.129502 0.130339 0.386804
157 0.127793 0.130289 0.131223 0.389304
158 0.12816 0.130603 0.131631 0.390394
159 0.128058 0.130437 0.131556 0.390051
160 0.127482 0.129788 0.130993 0.388263
161 0.126429 0.128654 0.129942 0.385024
162 0.1249 0.127037 0.128401 0.380338
163 0.122899 0.124941 0.126376 0.374217
164 0.120433 0.122374 0.123873 0.36668
165 0.117509 0.119344 0.120901 0.357755
166 0.11414 0.115864 0.117472 0.347476
167 0.110339 0.111948 0.1136 0.335887
168 0.106121 0.107613 0.109301 0.323036
169 0.101506 0.102878 0.104595 0.308978
170 0.0965119 0.0977625 0.0995018 0.293776
171 0.0911621 0.0922897 0.0940451 0.277497
172 0.08548 0.0864838 0.0882493 0.260213
173 0.0794912 0.0803706 0.0821405 0.242002
174 0.0732227 0.0739775 0.0757465 0.222947
175 0.0667029 0.0673333 0.0690963 0.203132
176 0.0599616 0.0604682 0.0622201 0.18265
177 0.0530297 0.0534135 0.0551494 0.161593
178 0.0459389 0.0462015 0.0479165 0.140057
179 0.0387219 0.0388655 0.0405545 0.118142
180 0.0314117 0.0314393 0.033097 0.095948
181 0.0240421 0.0239574 0.0255782 0.0735777
182 0.016647 0.0164543 0.0180325 0.0511338
183 0.00926033 0.00896466 0.0104944 0.0287194
184 0.00191583 0.00152301 0.00299817 0.00643701
185 -0.00535311 -0.00583672 -0.00442207 -0.0156119
186 -0.0125137 -0.0130812 -0.0117329 -0.0373278
187 -0.0195341 -0.0201781 -0.0189016 -0.0586138
188 -0.0263833 -0.0270961 -0.0258964 -0.0793758
189 -0.0330317 -0.0338051 -0.0326867 -0.0995235
190 -0.039451 -0.0402765 -0.0392433 -0.118971
191 -0.0456142 -0.0464833 -0.0455383 -0.137636
192 -0.0514961 -0.0524001 -0.0515458 -0.155442
193 -0.0570732 -0.0580033 -0.0572413 -0.172318
194 -0.0623238 -0.0632712 -0.0626027 -0.188198
195 -0.0672278 -0.0681839 -0.0676094 -0.203021
196 -0.0717673 -0.0727237 -0.0722433 -0.216734
197 -0.0759262 -0.0768747 -0.0764882 -0.229289
198 -0.0796906 -0.0806232 -0.0803303 -0.240644
199 -0.0830485 -0.0839579 -0.0837579 -0.250764
200 -0.08599 -0.0868692 -0.0867614 -0.259621
201 -0.0885074 -0.0893501 -0.0893336 -0.267191
202 -0.0905951 -0.0913958 -0.0914695 -0.27346
203 -0.0922498 -0.0930036 -0.0931662 -0.27842
204 -0.09347 -0.094173 -0.094423 -0.282066
205 -0.0942567 -0.0949059 -0.0952414 -0.284404
206 -0.0946129 -0.0952062 -0.0956248 -0.285444
207 -0.0945439 -0.0950798 -0.0955788 -0.285202
208 -0.0940568 -0.094535 -0.0951107 -0.283702
209 -0.0931609 -0.0935817 -0.0942299 -0.280972
210 -0.0918675 -0.092232 -0.0929476 -0.277047
211 -0.0901896 -0.0904995 -0.0912769 -0.271966
212 -0.088142 -0.0883997 -0.0892326 -0.265774
213 -0.0857414 -0.0859495 -0.0868313 -0.258522
214 -0.0830055 -0.0831674 -0.0840912 -0.250264
215 -0.0799538 -0.0800731 -0.081032 -0.241059
216 -0.076607 -0.0766876 -0.077675 -0.23097
217 -0.0729867 -0.073033 -0.0740427 -0.220062
218 -0.0691159 -0.0691322 -0.0701586 -0.208407
219 -0.065018 -0.0650091 -0.0660474 -0.196075
220 -0.0607176 -0.0606884 -0.0617344 -0.18314
221 -0.0562398 -0.0561952 -0.0572457 -0.169681
222 -0.05161 -0.0515554 -0.0526078 -0.155773
223 -0.0468545 -0.0467949 -0.0478473 -0.141497
224 -0.0419993 -0.0419402 -0.0429911 -0.126931
225 -0.037071 -0.0370176 -0.0380658 -0.112154
226 -0.0320957 -0.0320534 -0.033098 -0.0972471
227 -0.0270997 -0.0270736 -0.0281139 -0.0822872
228 -0.0221087 -0.022104 -0.023139 -0.0673516
229 -0.0171478 -0.0171696 -0.0181984 -0.0525158
230 -0.0122419 -0.012295 -0.0133166 -0.0378535
231 -0.00741472 -0.00750396 -0.00851722 -0.0234359
232 -0.00268945 -0.00281934 -0.00382314 -0.00933193
233 0.00191173 0.00173691 0.000743721 0.00439236
234 0.00636763 0.00614388 0.0051624 0.0176739
235 0.0106581 0.0103818 0.009413 0.0304529
236 0.0147642 0.0144321 0.0134767 0.042673
237 0.0186681 0.0182775 0.017336 0.0542816
238 0.0223533 0.0219022 0.0209746 0.0652301
239 0.0258047 0.0252918 0.0243776 0.0754741
240 0.0290085 0.0284335 0.0275316 0.0849735
241 0.0319525 0.031316 0.0304248 0.0936933
242 0.0346259 0.03393 0.0330471 0.101603
243 0.0370199 0.0362677 0.0353901 0.108678
244 0.0391268 0.0383231 0.0374469 0.114897
245 0.0409411 0.0400919 0.0392129 0.120246
246 0.0424586 0.0415716 0.0406847 0.124715
247 0.0436771 0.0427613 0.0418612 0.1283
248 0.0445961 0.0436618 0.0427427 0.131001
249 0.0452166 0.0442754 0.0433315 0.132823
250 0.0455414 0.0446058 0.0436314 0.133779
251 0.0455751 0.0446582 0.0436479 0.133881
252 0.0453238 0.0444391 0.043388 0.133151
253 0.0447955 0.0439563 0.0428602 0.131612
254 0.0439994 0.0432187 0.0420742 0.129292
255 0.0429465 0.0422364 0.0410409 0.126224
256 0.041649 0.0410206 0.0397725 0.122442
257 0.0401204 0.0395834 0.0382821 0.117986
258 0.0383754 0.0379379 0.0365835 0.112897
259 0.0364296 0.0360981 0.0346916 0.107219
260 0.0342993 0.0340784 0.0326217 0.100999
261 0.0320016 0.0318943 0.0303899 0.0942859
262 0.0295543 0.0295614 0.0280127 0.0871284
263 0.0269752 0.0270964 0.0255069 0.0795784
264 0.0242827 0.0245159 0.0228896 0.0716882
265 0.0214952 0.0218373 0.0201782 0.0635107
266 0.0186311 0.019078 0.0173902 0.0550993
267 0.0157091 0.0162558 0.0145429 0.0465077
268 0.0127472 0.0133883 0.0116537 0.0377892
269 0.00976371 0.0104934 0.00873968 0.0289968
270 0.00677634 0.00758847 0.00581784 0.0201826
271 0.0038025 0.00469091 0.00290482 0.0113982
272 0.000859154 0.00181758 1.69801e-05 0.00269372
273 -0.00203725 -0.00101508 -0.00282969 -0.00588202
274 -0.00487089 -0.00379119 -0.0056196 -0.0142817
275 -0.00762661 -0.00649548 -0.00833765 -0.0224597
276 -0.01029 -0.0091134 -0.0109693 -0.0303727
277 -0.0128476 -0.0116312 -0.0135007 -0.0379795
278 -0.0152867 -0.014036 -0.0159188 -0.0452414
279 -0.0175956 -0.0163159 -0.0182113 -0.0521228
280 -0.0197638 -0.0184601 -0.0203669 -0.0585908
281 -0.0217818 -0.020459 -0.0223754 -0.0646161
282 -0.0236411 -0.022304 -0.0242276 -0.0701727
283 -0.0253345 -0.0239879 -0.0259157 -0.075238
284 -0.0268557 -0.0255046 -0.0274328 -0.0797932
285 -0.0281999 -0.0268494 -0.0287734 -0.0838227
286 -0.029363 -0.0280185 -0.0299332 -0.0873148
287 -0.0303425 -0.0290095 -0.0309091 -0.090261
288 -0.0311365 -0.0298209 -0.0316991 -0.0926565
289 -0.0317449 -0.0304523 -0.0323024 -0.0944996
290 -0.032168 -0.0309043 -0.0327195 -0.0957918
291 -0.0324078 -0.0311787 -0.0329515 -0.0965379
292 -0.0324669 -0.0312777 -0.0330009 -0.0967455
293 -0.0323493 -0.0312049 -0.0328707 -0.0964249
294 -0.0320596 -0.0309643 -0.0325651 -0.095589
295 -0.0316035 -0.0305611 -0.0320889 -0.0942535
296 -0.0309875 -0.0300009 -0.0314476 -0.092436
297 -0.0302189 -0.0292902 -0.0306475 -0.0901566
298 -0.0293057 -0.0284362 -0.0296955 -0.0874373
299 -0.0282564 -0.0274465 -0.028599 -0.084302
300 -0.0270803 -0.0263294 -0.0273663 -0.080776
301 -0.0257867 -0.0250938 -0.0260057 -0.0768862
302 -0.0243855 -0.0237487 -0.0245262 -0.0726604
303 -0.0228865 -0.0223036 -0.0229372 -0.0681273
304 -0.0212997 -0.0207681 -0.0212483 -0.063316
305 -0.0196351 -0.0191521 -0.0194693 -0.0582565
306 -0.0179026 -0.0174655 -0.0176104 -0.0529785
307 -0.0161123 -0.0157183 -0.0156818 -0.0475125
308 -0.014274 -0.0139204 -0.0136944 -0.0418888
309 -0.0123976 -0.0120818 -0.0116587 -0.0361381
310 -0.0104929 -0.0102124 -0.00958593 -0.0302913
311 -0.00856969 -0.00832223 -0.00748734 -0.0243793
312 -0.00663777 -0.00642113 -0.0053744 -0.0184333
313 -0.00470686 -0.00451904 -0.00325877 -0.0124847
314 -0.0027866 -0.00262585 -0.00115219 -0.00656464
315 -0.000886501 -0.000751397 0.00093362 -0.000704278
316 0.000984086 0.00109455 0.00298709 0.00506573
317 0.00281603 0.00290239 0.00499691 0.0107153
