# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
105 0.00703164 0.00703125 0.00704297 0.0211059
106 0.00701402 0.00701352 0.0070256 0.0210531
107 0.00699631 0.00699571 0.0070081 0.0210001
108 0.00697849 0.00697781 0.00699048 0.0209468
109 0.00696057 0.00695984 0.00697273 0.0208931
110 0.00694256 0.00694177 0.00695485 0.0208392
111 0.00692445 0.00692361 0.00693685 0.0207849
112 0.00690623 0.00690535 0.0069187 0.0207303
113 0.00688792 0.00688699 0.00690042 0.0206753
114 0.0068695 0.00686852 0.006882 0.02062
115 0.00685099 0.00684995 0.00686344 0.0205644
116 0.00683238 0.00683126 0.00684474 0.0205084
117 0.00681367 0.00681246 0.00682592 0.0204521
118 0.00679486 0.00679356 0.00680697 0.0203954
119 0.00677598 0.00677456 0.00678791 0.0203384
120 0.00675701 0.00675547 0.00676874 0.0202812
121 0.00673798 0.00673629 0.00674947 0.0202237
122 0.00671888 0.00671705 0.00673013 0.0201661
123 0.00669975 0.00669774 0.00671073 0.0201082
124 0.00668058 0.0066784 0.00669129 0.0200503
125 0.0066614 0.00665904 0.00667182 0.0199923
126 0.00664223 0.00663968 0.00665236 0.0199343
127 0.00662309 0.00662034 0.00663293 0.0198764
128 0.006604 0.00660106 0.00661354 0.0198186
129 0.00658498 0.00658186 0.00659424 0.0197611
130 0.00656607 0.00656277 0.00657505 0.0197039
131 0.00654729 0.00654382 0.006556 0.0196471
132 0.00652868 0.00652505 0.00653713 0.0195909
133 0.00651026 0.0065065 0.00651847 0.0195352
134 0.00649209 0.00648821 0.00650006 0.0194804
135 0.00647418 0.0064702 0.00648194 0.0194263
136 0.00645659 0.00645254 0.00646415 0.0193733
137 0.00643935 0.00643525 0.00644673 0.0193213
138 0.00642251 0.00641838 0.00642972 0.0192706
139 0.00640611 0.00640199 0.00641317 0.0192213
140 0.0063902 0.0063861 0.00639711 0.0191734
141 0.00637482 0.00637076 0.0063816 0.0191272
142 0.00636002 0.00635603 0.00636668 0.0190827
143 0.00634584 0.00634194 0.00635239 0.0190402
144 0.00633232 0.00632853 0.00633877 0.0189996
145 0.00631952 0.00631585 0.00632586 0.0189612
146 0.00630747 0.00630393 0.00631371 0.0189251
147 0.0062962 0.00629282 0.00630234 0.0188914
148 0.00628577 0.00628254 0.00629181 0.0188601
149 0.0062762 0.00627313 0.00628214 0.0188315
150 0.00626753 0.00626463 0.00627336 0.0188055
151 0.00625979 0.00625705 0.0062655 0.0187823
152 0.006253 0.00625043 0.00625858 0.018762
153 0.00624718 0.00624478 0.00625264 0.0187446
154 0.00624237 0.00624012 0.00624769 0.0187302
155 0.00623857 0.00623648 0.00624374 0.0187188
156 0.0062358 0.00623386 0.00624081 0.0187105
157 0.00623406 0.00623227 0.0062389 0.0187052
158 0.00623336 0.00623171 0.00623803 0.0187031
159 0.00623371 0.0062322 0.0062382 0.0187041
160 0.00623509 0.00623373 0.0062394 0.0187082
161 0.00623751 0.00623629 0.00624163 0.0187154
162 0.00624096 0.00623987 0.00624488 0.0187257
163 0.00624541 0.00624447 0.00624913 0.018739
164 0.00625085 0.00625007 0.00625438 0.0187553
165 0.00625727 0.00625665 0.0062606 0.0187745
166 0.00626463 0.00626418 0.00626777 0.0187966
167 0.00627291 0.00627264 0.00627586 0.0188214
168 0.00628208 0.006282 0.00628485 0.0188489
169 0.00629211 0.00629223 0.00629469 0.018879
170 0.00630296 0.00630329 0.00630536 0.0189116
171 0.00631458 0.00631514 0.00631681 0.0189465
172 0.00632695 0.00632774 0.00632901 0.0189837
173 0.00634 0.00634105 0.0063419 0.0190229
174 0.00635371 0.00635501 0.00635544 0.0190642
175 0.00636801 0.00636957 0.00636958 0.0191072
176 0.00638285 0.0063847 0.00638427 0.0191518
177 0.00639819 0.00640031 0.00639946 0.019198
178 0.00641397 0.00641637 0.00641509 0.0192454
179 0.00643012 0.00643282 0.0064311 0.019294
180 0.0064466 0.00644958 0.00644743 0.0193436
181 0.00646335 0.0064666 0.00646403 0.019394
182 0.0064803 0.00648382 0.00648084 0.019445
183 0.0064974 0.00650118 0.0064978 0.0194964
184 0.00651459 0.00651861 0.00651485 0.019548
185 0.00653182 0.00653605 0.00653192 0.0195998
186 0.00654902 0.00655343 0.00654896 0.0196514
187 0.00656614 0.0065707 0.00656591 0.0197027
188 0.00658312 0.0065878 0.00658271 0.0197536
189 0.00659991 0.00660467 0.00659931 0.0198039
190 0.00661646 0.00662126 0.00661566 0.0198534
191 0.00663271 0.00663751 0.0066317 0.0199019
192 0.00664863 0.00665338 0.00664738 0.0199494
193 0.00666415 0.00666883 0.00666266 0.0199956
194 0.00667924 0.0066838 0.00667749 0.0200405
195 0.00669385 0.00669826 0.00669183 0.0200839
196 0.00670795 0.00671219 0.00670564 0.0201258
197 0.0067215 0.00672553 0.0067189 0.0201659
198 0.00673446 0.00673827 0.00673155 0.0202043
199 0.00674681 0.00675037 0.00674358 0.0202408
200 0.00675851 0.00676183 0.00675496 0.0202753
201 0.00676953 0.0067726 0.00676567 0.0203078
202 0.00677987 0.00678269 0.00677568 0.0203382
203 0.00678949 0.00679207 0.00678497 0.0203665
204 0.00679838 0.00680073 0.00679354 0.0203926
205 0.00680653 0.00680866 0.00680137 0.0204166
206 0.00681391 0.00681587 0.00680845 0.0204382
207 0.00682054 0.00682234 0.00681478 0.0204577
208 0.00682639 0.00682808 0.00682036 0.0204748
209 0.00683147 0.00683309 0.00682519 0.0204897
210 0.00683578 0.00683738 0.00682927 0.0205024
211 0.00683932 0.00684096 0.00683263 0.0205129
212 0.0068421 0.00684383 0.00683527 0.0205212
213 0.00684415 0.00684602 0.00683721 0.0205274
214 0.00684546 0.00684754 0.00683847 0.0205315
215 0.00684606 0.00684842 0.00683907 0.0205336
216 0.00684598 0.00684867 0.00683905 0.0205337
217 0.00684524 0.00684832 0.00683843 0.020532
218 0.00684387 0.0068474 0.00683725 0.0205285
219 0.0068419 0.00684594 0.00683553 0.0205234
220 0.00683936 0.00684397 0.00683332 0.0205167
221 0.0068363 0.00684152 0.00683065 0.0205085
222 0.00683275 0.00683862 0.00682756 0.0204989
223 0.00682875 0.00683531 0.00682409 0.0204881
224 0.00682434 0.00683162 0.00682027 0.0204762
225 0.00681956 0.00682759 0.00681615 0.0204633
226 0.00681446 0.00682325 0.00681176 0.0204495
227 0.00680908 0.00681863 0.00680715 0.0204349
228 0.00680345 0.00681378 0.00680235 0.0204196
229 0.00679762 0.00680872 0.00679739 0.0204037
230 0.00679164 0.0068035 0.00679231 0.0203875
231 0.00678554 0.00679815 0.00678716 0.0203708
232 0.00677936 0.0067927 0.00678195 0.020354
233 0.00677315 0.00678719 0.00677673 0.0203371
234 0.00676693 0.00678165 0.00677153 0.0203201
235 0.00676075 0.00677613 0.00676637 0.0203033
236 0.00675465 0.00677065 0.00676129 0.0202866
237 0.00674864 0.00676524 0.00675631 0.0202702
238 0.00674278 0.00675995 0.00675146 0.0202542
239 0.00673708 0.0067548 0.00674678 0.0202387
240 0.00673158 0.00674982 0.00674227 0.0202237
241 0.0067263 0.00674505 0.00673797 0.0202093
242 0.00672127 0.0067405 0.0067339 0.0201957
243 0.00671652 0.00673621 0.00673009 0.0201828
244 0.00671206 0.0067322 0.00672654 0.0201708
245 0.00670791 0.00672849 0.00672329 0.0201597
246 0.00670409 0.00672509 0.00672035 0.0201495
247 0.00670061 0.00672203 0.00671773 0.0201404
248 0.00669749 0.00671931 0.00671544 0.0201323
249 0.00669474 0.00671696 0.00671351 0.0201252
250 0.00669236 0.00671497 0.00671193 0.0201193
251 0.00669037 0.00671335 0.00671071 0.0201144
252 0.00668875 0.00671212 0.00670986 0.0201107
253 0.00668751 0.00671126 0.00670937 0.0201081
254 0.00668665 0.00671077 0.00670925 0.0201067
255 0.00668616 0.00671066 0.00670949 0.0201063
256 0.00668603 0.00671092 0.00671008 0.020107
257 0.00668625 0.00671153 0.00671101 0.0201088
258 0.00668681 0.00671249 0.00671228 0.0201116
259 0.0066877 0.00671379 0.00671386 0.0201153
260 0.00668889 0.0067154 0.00671575 0.02012
261 0.00669037 0.00671732 0.00671792 0.0201256
262 0.00669212 0.00671951 0.00672036 0.020132
263 0.00669411 0.00672197 0.00672304 0.0201391
264 0.00669633 0.00672467 0.00672594 0.0201469
265 0.00669876 0.00672757 0.00672905 0.0201554
266 0.00670136 0.00673066 0.00673232 0.0201643
267 0.00670413 0.00673391 0.00673575 0.0201738
268 0.00670702 0.0067373 0.00673929 0.0201836
269 0.00671003 0.00674078 0.00674294 0.0201937
270 0.00671312 0.00674434 0.00674665 0.0202041
271 0.00671627 0.00674795 0.00675041 0.0202146
272 0.00671947 0.00675158 0.00675419 0.0202252
273 0.00672268 0.0067552 0.00675797 0.0202358
274 0.00672589 0.00675878 0.00676171 0.0202464
275 0.00672907 0.0067623 0.0067654 0.0202568
276 0.0067322 0.00676573 0.00676901 0.0202669
277 0.00673526 0.00676904 0.00677252 0.0202768
278 0.00673823 0.00677222 0.00677592 0.0202864
279 0.00674109 0.00677524 0.00677917 0.0202955
280 0.00674383 0.00677808 0.00678226 0.0203042
281 0.00674642 0.00678072 0.00678517 0.0203123
282 0.00674884 0.00678314 0.00678788 0.0203199
283 0.00675109 0.00678533 0.00679039 0.0203268
284 0.00675315 0.00678727 0.00679267 0.0203331
285 0.00675501 0.00678895 0.0067947 0.0203387
286 0.00675664 0.00679036 0.00679649 0.0203435
287 0.00675805 0.00679149 0.00679802 0.0203476
288 0.00675922 0.00679234 0.00679927 0.0203508
289 0.00676015 0.00679291 0.00680025 0.0203533
290 0.00676083 0.00679318 0.00680094 0.020355
291 0.00676126 0.00679317 0.00680135 0.0203558
292 0.00676142 0.00679287 0.00680147 0.0203558
293 0.00676132 0.0067923 0.0068013 0.0203549
294 0.00676096 0.00679144 0.00680085 0.0203532
295 0.00676033 0.00679031 0.00680011 0.0203508
296 0.00675944 0.00678892 0.0067991 0.0203475
297 0.00675829 0.00678728 0.00679782 0.0203434
298 0.00675689 0.00678539 0.00679628 0.0203386
299 0.00675523 0.00678326 0.0067945 0.020333
300 0.00675333 0.00678091 0.00679247 0.0203267
301 0.0067512 0.00677833 0.00679022 0.0203198
302 0.00674884 0.00677556 0.00678776 0.0203122
303 0.00674627 0.00677258 0.0067851 0.0203039
304 0.00674349 0.00676943 0.00678225 0.0202952
305 0.00674051 0.0067661 0.00677923 0.0202858
306 0.00673736 0.00676261 0.00677606 0.020276
307 0.00673404 0.00675896 0.00677274 0.0202657
308 0.00673058 0.00675518 0.00676929 0.0202551
309 0.00672697 0.00675128 0.00676574 0.020244
310 0.00672325 0.00674726 0.00676208 0.0202326
311 0.00671943 0.00674315 0.00675833 0.0202209
312 0.00671552 0.00673895 0.00675452 0.020209
313 0.00671155 0.00673468 0.00675065 0.0201969
314 0.00670753 0.00673036 0.00674674 0.0201846
315 0.00670348 0.006726 0.00674281 0.0201723
316 0.00669942 0.00672163 0.00673887 0.0201599
317 0.00669538 0.00671725 0.00673493 0.0201476
318 0.00669135 0.00671289 0.00673102 0.0201353
319 0.00668738 0.00670857 0.00672715 0.0201231
320 0.00668347 0.00670429 0.00672334 0.0201111
321 0.00667963 0.00670009 0.0067196 0.0200993
322 0.00667589 0.00669598 0.00671594 0.0200878
323 0.00667226 0.00669198 0.0067124 0.0200766
324 0.00666875 0.0066881 0.00670897 0.0200658
325 0.00666538 0.00668435 0.00670567 0.0200554
326 0.00666215 0.00668076 0.00670251 0.0200454
327 0.00665907 0.00667732 0.00669951 0.0200359
328 0.00665615 0.00667406 0.00669667 0.0200269
329 0.0066534 0.00667098 0.00669401 0.0200184
330 0.00665083 0.00666809 0.00669152 0.0200104
331 0.00664843 0.00666539 0.00668921 0.020003
332 0.00664622 0.00666288 0.00668709 0.0199962
333 0.00664418 0.00666058 0.00668515 0.0199899
334 0.00664234 0.00665847 0.0066834 0.0199842
335 0.00664067 0.00665656 0.00668185 0.0199791
336 0.0066392 0.00665484 0.00668048 0.0199745
337 0.00663791 0.00665332 0.00667929 0.0199705
338 0.00663682 0.00665199 0.00667829 0.0199671
339 0.00663591 0.00665085 0.00667748 0.0199642
340 0.0066352 0.00664989 0.00667684 0.0199619
341 0.00663467 0.00664911 0.00667639 0.0199602
342 0.00663434 0.00664849 0.00667611 0.0199589
343 0.00663419 0.00664805 0.006676 0.0199582
344 0.00663423 0.00664776 0.00667606 0.0199581
345 0.00663446 0.00664763 0.00667628 0.0199584
346 0.00663487 0.00664765 0.00667666 0.0199592
347 0.00663545 0.00664781 0.0066772 0.0199605
348 0.00663621 0.00664811 0.00667788 0.0199622
349 0.00663714 0.00664853 0.0066787 0.0199644
350 0.00663822 0.00664908 0.00667965 0.0199669
351 0.00663945 0.00664974 0.00668072 0.0199699
352 0.00664082 0.00665051 0.0066819 0.0199732
353 0.00664232 0.00665138 0.00668318 0.0199769
354 0.00664393 0.00665235 0.00668455 0.0199808
355 0.00664565 0.0066534 0.006686 0.0199851
356 0.00664747 0.00665454 0.00668752 0.0199895
357 0.00664936 0.00665575 0.0066891 0.0199942
358 0.00665133 0.00665702 0.00669073 0.0199991
359 0.00665335 0.00665835 0.00669239 0.0200041
360 0.00665542 0.00665973 0.00669409 0.0200092
361 0.00665752 0.00666116 0.0066958 0.0200145
362 0.00665966 0.00666263 0.00669752 0.0200198
363 0.00666181 0.00666413 0.00669924 0.0200252
364 0.00666397 0.00666565 0.00670096 0.0200306
365 0.00666613 0.0066672 0.00670267 0.020036
366 0.00666828 0.00666876 0.00670437 0.0200414
367 0.00667043 0.00667032 0.00670606 0.0200468
368 0.00667257 0.00667189 0.00670772 0.0200522
369 0.00667468 0.00667346 0.00670937 0.0200575
370 0.00667678 0.00667502 0.00671099 0.0200628
371 0.00667885 0.00667657 0.0067126 0.020068
372 0.00668089 0.00667811 0.00671419 0.0200732
373 0.00668291 0.00667963 0.00671576 0.0200783
374 0.00668489 0.00668113 0.00671731 0.0200833
375 0.00668685 0.0066826 0.00671885 0.0200883
376 0.00668877 0.00668404 0.00672038 0.0200932
377 0.00669066 0.00668546 0.0067219 0.020098
378 0.00669252 0.00668684 0.0067234 0.0201028
379 0.00669435 0.00668819 0.00672491 0.0201074
380 0.00669614 0.0066895 0.00672641 0.020112
381 0.0066979 0.00669077 0.00672791 0.0201166
382 0.00669962 0.006692 0.00672941 0.020121
383 0.00670131 0.0066932 0.00673091 0.0201254
384 0.00670296 0.00669435 0.00673242 0.0201297
385 0.00670458 0.00669546 0.00673393 0.020134
386 0.00670616 0.00669653 0.00673546 0.0201381
387 0.00670771 0.00669756 0.00673699 0.0201423
388 0.00670922 0.00669855 0.00673853 0.0201463
389 0.0067107 0.00669951 0.00674008 0.0201503
390 0.00671214 0.00670043 0.00674165 0.0201542
391 0.00671355 0.00670133 0.00674324 0.0201581
392 0.00671492 0.0067022 0.00674484 0.020162
393 0.00671626 0.00670305 0.00674647 0.0201658
394 0.00671757 0.00670388 0.00674812 0.0201696
395 0.00671885 0.00670471 0.00674979 0.0201734
396 0.0067201 0.00670554 0.0067515 0.0201771
397 0.00672132 0.00670637 0.00675324 0.0201809
398 0.00672252 0.00670721 0.00675501 0.0201847
399 0.00672369 0.00670808 0.00675682 0.0201886
400 0.00672485 0.00670897 0.00675867 0.0201925
401 0.006726 0.00670989 0.00676056 0.0201964
402 0.00672713 0.00671085 0.0067625 0.0202005
403 0.00672826 0.00671187 0.00676449 0.0202046
404 0.00672938 0.00671293 0.00676652 0.0202088
405 0.00673051 0.00671404 0.00676861 0.0202132
406 0.00673165 0.00671522 0.00677074 0.0202176
407 0.00673279 0.00671646 0.00677293 0.0202222
408 0.00673396 0.00671776 0.00677516 0.0202269
409 0.00673514 0.00671913 0.00677743 0.0202317
410 0.00673634 0.00672056 0.00677975 0.0202367
411 0.00673757 0.00672205 0.00678211 0.0202417
412 0.00673883 0.0067236 0.0067845 0.0202469
413 0.00674011 0.00672521 0.00678692 0.0202522
414 0.00674143 0.00672687 0.00678937 0.0202577
415 0.00674277 0.00672858 0.00679183 0.0202632
416 0.00674414 0.00673033 0.00679431 0.0202688
417 0.00674554 0.00673212 0.00679679 0.0202744
418 0.00674696 0.00673394 0.00679927 0.0202802
419 0.00674841 0.00673578 0.00680175 0.0202859
420 0.00674988 0.00673764 0.00680422 0.0202917
421 0.00675138 0.00673951 0.00680666 0.0202976
422 0.00675288 0.00674139 0.00680908 0.0203034
423 0.0067544 0.00674327 0.00681147 0.0203091
424 0.00675593 0.00674515 0.00681382 0.0203149
425 0.00675746 0.00674702 0.00681613 0.0203206
426 0.00675899 0.00674887 0.00681838 0.0203262
427 0.00676051 0.0067507 0.00682057 0.0203318
428 0.00676203 0.00675251 0.0068227 0.0203372
429 0.00676353 0.00675429 0.00682475 0.0203426
430 0.006765 0.00675604 0.00682672 0.0203478
431 0.00676645 0.00675774 0.00682861 0.0203528
432 0.00676787 0.0067594 0.0068304 0.0203577
433 0.00676924 0.00676101 0.00683209 0.0203623
434 0.00677057 0.00676256 0.00683367 0.0203668
435 0.00677185 0.00676405 0.00683515 0.020371
436 0.00677307 0.00676547 0.00683651 0.020375
437 0.00677422 0.00676682 0.00683775 0.0203788
438 0.00677531 0.00676809 0.00683886 0.0203823
439 0.00677632 0.00676927 0.00683986 0.0203855
440 0.00677726 0.00677037 0.00684072 0.0203883
441 0.00677811 0.00677138 0.00684146 0.0203909
442 0.00677887 0.00677229 0.00684206 0.0203932
443 0.00677953 0.0067731 0.00684254 0.0203952
444 0.0067801 0.0067738 0.00684288 0.0203968
445 0.00678056 0.0067744 0.0068431 0.0203981
446 0.00678091 0.00677489 0.00684318 0.020399
