# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
125 1.06567 1.06435 1.06172 3.19174
126 1.06474 1.06341 1.06079 3.18894
127 1.06381 1.06248 1.05986 3.18616
128 1.06289 1.06156 1.05894 3.18338
129 1.06197 1.06063 1.05802 3.18062
130 1.06105 1.05971 1.0571 3.17787
131 1.06013 1.0588 1.05619 3.17512
132 1.05921 1.05789 1.05529 3.17239
133 1.0583 1.05698 1.05439 3.16966
134 1.05739 1.05607 1.05349 3.16695
135 1.05648 1.05516 1.0526 3.16424
136 1.05557 1.05426 1.05171 3.16155
137 1.05467 1.05337 1.05083 3.15886
138 1.05377 1.05247 1.04995 3.15619
139 1.05287 1.05158 1.04907 3.15352
140 1.05197 1.05069 1.0482 3.15086
141 1.05108 1.0498 1.04734 3.14822
142 1.05019 1.04892 1.04647 3.14558
143 1.0493 1.04804 1.04561 3.14295
144 1.04842 1.04716 1.04475 3.14033
145 1.04754 1.04628 1.0439 3.13772
146 1.04667 1.0454 1.04304 3.13512
147 1.0458 1.04453 1.04219 3.13252
148 1.04493 1.04366 1.04135 3.12994
149 1.04407 1.04279 1.0405 3.12736
150 1.04321 1.04192 1.03966 3.12479
151 1.04235 1.04106 1.03882 3.12223
152 1.04149 1.04019 1.03799 3.11967
153 1.04064 1.03933 1.03715 3.11713
154 1.0398 1.03847 1.03632 3.11459
155 1.03895 1.03762 1.0355 3.11206
156 1.03811 1.03676 1.03467 3.10954
157 1.03727 1.03591 1.03385 3.10703
158 1.03643 1.03506 1.03303 3.10453
159 1.0356 1.03422 1.03221 3.10203
160 1.03477 1.03338 1.0314 3.09954
161 1.03394 1.03254 1.03059 3.09706
162 1.03312 1.0317 1.02978 3.09459
163 1.0323 1.03087 1.02897 3.09213
164 1.03148 1.03004 1.02816 3.08968
165 1.03066 1.02921 1.02736 3.08723
166 1.02984 1.02839 1.02656 3.08479
167 1.02903 1.02756 1.02576 3.08236
168 1.02822 1.02675 1.02496 3.07993
169 1.02741 1.02593 1.02417 3.07751
170 1.0266 1.02512 1.02337 3.0751
171 1.0258 1.02432 1.02258 3.0727
172 1.025 1.02351 1.02179 3.0703
173 1.0242 1.02271 1.02101 3.06792
174 1.0234 1.02192 1.02022 3.06554
175 1.0226 1.02112 1.01944 3.06317
176 1.02181 1.02033 1.01867 3.06081
177 1.02102 1.01955 1.01789 3.05845
178 1.02023 1.01876 1.01712 3.05611
179 1.01944 1.01798 1.01635 3.05378
180 1.01866 1.0172 1.01559 3.05145
181 1.01787 1.01643 1.01483 3.04913
182 1.01709 1.01566 1.01407 3.04682
183 1.01632 1.01489 1.01332 3.04452
184 1.01554 1.01412 1.01257 3.04223
185 1.01476 1.01335 1.01183 3.03994
186 1.01399 1.01259 1.01108 3.03766
187 1.01322 1.01183 1.01034 3.03539
188 1.01245 1.01107 1.0096 3.03312
189 1.01168 1.01031 1.00887 3.03086
190 1.01091 1.00956 1.00813 3.02861
191 1.01015 1.00881 1.0074 3.02635
192 1.00938 1.00805 1.00667 3.02411
193 1.00861 1.0073 1.00594 3.02186
194 1.00785 1.00655 1.00522 3.01962
195 1.00709 1.0058 1.00449 3.01738
196 1.00632 1.00506 1.00377 3.01515
197 1.00556 1.00431 1.00304 3.01291
198 1.0048 1.00356 1.00232 3.01068
199 1.00404 1.00281 1.0016 3.00845
200 1.00328 1.00207 1.00088 3.00622
201 1.00252 1.00132 1.00016 3.00399
202 1.00176 1.00057 0.999436 3.00177
203 1.001 0.999825 0.998715 2.99954
204 1.00024 0.999078 0.997995 2.99731
205 0.999481 0.998331 0.997274 2.99509
206 0.998724 0.997584 0.996554 2.99286
207 0.997967 0.996837 0.995833 2.99064
208 0.997211 0.99609 0.995113 2.98841
209 0.996455 0.995343 0.994392 2.98619
210 0.995701 0.994596 0.993671 2.98397
211 0.994948 0.993849 0.99295 2.98175
212 0.994196 0.993103 0.992229 2.97953
213 0.993446 0.992357 0.991507 2.97731
214 0.992696 0.991611 0.990785 2.97509
215 0.991949 0.990866 0.990063 2.97288
216 0.991202 0.990121 0.989341 2.97066
217 0.990458 0.989377 0.988618 2.96845
218 0.989714 0.988632 0.987896 2.96624
219 0.988972 0.987888 0.987174 2.96403
220 0.988231 0.987144 0.986451 2.96183
221 0.987492 0.9864 0.98573 2.95962
222 0.986754 0.985657 0.985008 2.95742
223 0.986017 0.984913 0.984288 2.95522
224 0.985281 0.984169 0.983568 2.95302
225 0.984547 0.983426 0.982849 2.95082
226 0.983814 0.982683 0.982131 2.94863
227 0.983082 0.98194 0.981414 2.94644
228 0.982352 0.981198 0.980699 2.94425
229 0.981622 0.980456 0.979984 2.94206
230 0.980894 0.979715 0.979271 2.93988
231 0.980167 0.978975 0.978559 2.9377
232 0.979441 0.978235 0.977848 2.93552
233 0.978715 0.977497 0.977138 2.93335
234 0.977991 0.976761 0.976428 2.93118
235 0.977268 0.976025 0.975718 2.92901
236 0.976546 0.975291 0.975009 2.92685
237 0.975824 0.974558 0.974299 2.92468
238 0.975104 0.973827 0.97359 2.92252
239 0.974385 0.973098 0.97288 2.92036
240 0.973667 0.97237 0.972171 2.91821
241 0.972951 0.971643 0.971461 2.91605
242 0.972235 0.970917 0.970751 2.9139
243 0.971521 0.970192 0.970042 2.91176
244 0.970809 0.969469 0.969333 2.90961
245 0.970097 0.968746 0.968625 2.90747
246 0.969387 0.968024 0.967917 2.90533
247 0.968678 0.967302 0.96721 2.90319
248 0.96797 0.966581 0.966503 2.90105
249 0.967262 0.96586 0.965798 2.89892
250 0.966556 0.965139 0.965093 2.89679
251 0.965851 0.964419 0.964389 2.89466
252 0.965146 0.963699 0.963687 2.89253
253 0.964443 0.962978 0.962985 2.89041
254 0.963739 0.962258 0.962284 2.88828
255 0.963037 0.961538 0.961584 2.88616
256 0.962334 0.960818 0.960884 2.88404
257 0.961633 0.960098 0.960185 2.88192
258 0.960931 0.959379 0.959487 2.8798
259 0.96023 0.958659 0.958789 2.87768
260 0.95953 0.957941 0.958092 2.87556
261 0.958829 0.957222 0.957395 2.87345
262 0.958129 0.956505 0.956699 2.87133
263 0.95743 0.955788 0.956003 2.86922
264 0.956731 0.955073 0.955308 2.86711
265 0.956032 0.954358 0.954613 2.865
266 0.955333 0.953645 0.953919 2.8629
267 0.954636 0.952934 0.953226 2.8608
268 0.953939 0.952223 0.952533 2.8587
269 0.953242 0.951515 0.951841 2.8566
270 0.952546 0.950808 0.95115 2.8545
271 0.951851 0.950103 0.95046 2.85241
272 0.951156 0.949399 0.949769 2.85032
273 0.950462 0.948697 0.94908 2.84824
274 0.949769 0.947997 0.94839 2.84616
275 0.949076 0.947298 0.947701 2.84408
276 0.948384 0.9466 0.947012 2.842
277 0.947693 0.945904 0.946322 2.83992
278 0.947003 0.94521 0.945633 2.83785
279 0.946312 0.944516 0.944943 2.83577
280 0.945623 0.943824 0.944253 2.8337
281 0.944934 0.943133 0.943562 2.83163
282 0.944245 0.942443 0.942872 2.82956
283 0.943557 0.941754 0.94218 2.82749
284 0.942869 0.941065 0.941488 2.82542
285 0.942181 0.940377 0.940796 2.82335
286 0.941493 0.939689 0.940103 2.82128
287 0.940804 0.939002 0.93941 2.81922
288 0.940115 0.938314 0.938716 2.81714
289 0.939425 0.937626 0.938022 2.81507
290 0.938734 0.936939 0.937327 2.813
291 0.938042 0.936251 0.936632 2.81093
292 0.93735 0.935563 0.935937 2.80885
293 0.936656 0.934874 0.935241 2.80677
294 0.935961 0.934186 0.934545 2.80469
295 0.935266 0.933497 0.93385 2.80261
296 0.934571 0.932808 0.933156 2.80053
297 0.933874 0.932119 0.932462 2.79846
298 0.933178 0.931431 0.931769 2.79638
299 0.932483 0.930743 0.931078 2.7943
300 0.931788 0.930055 0.930388 2.79223
301 0.931093 0.929368 0.9297 2.79016
302 0.9304 0.928682 0.929013 2.7881
303 0.929708 0.927997 0.928328 2.78603
304 0.929018 0.927313 0.927644 2.78397
305 0.92833 0.92663 0.926961 2.78192
306 0.927643 0.925947 0.92628 2.77987
307 0.926958 0.925267 0.925599 2.77782
308 0.926275 0.924586 0.924919 2.77578
309 0.925594 0.923907 0.924239 2.77374
310 0.924915 0.923229 0.92356 2.7717
311 0.924237 0.922551 0.922882 2.76967
312 0.923561 0.921873 0.922203 2.76764
313 0.922887 0.921196 0.921525 2.76561
314 0.922214 0.920519 0.920848 2.76358
315 0.921543 0.919842 0.92017 2.76155
316 0.920873 0.919164 0.919493 2.75953
317 0.920204 0.918486 0.918816 2.75751
318 0.919535 0.917808 0.91814 2.75548
319 0.918868 0.917129 0.917464 2.75346
320 0.918201 0.91645 0.916789 2.75144
321 0.917535 0.91577 0.916114 2.74942
322 0.916869 0.91509 0.91544 2.7474
323 0.916204 0.91441 0.914766 2.74538
324 0.915539 0.913729 0.914092 2.74336
325 0.914874 0.913048 0.91342 2.74134
326 0.91421 0.912367 0.912747 2.73932
327 0.913546 0.911687 0.912076 2.73731
328 0.912882 0.911006 0.911404 2.73529
329 0.91222 0.910326 0.910733 2.73328
330 0.911557 0.909645 0.910063 2.73127
331 0.910895 0.908966 0.909393 2.72925
332 0.910234 0.908287 0.908723 2.72724
333 0.909573 0.907608 0.908054 2.72524
334 0.908913 0.90693 0.907386 2.72323
335 0.908253 0.906253 0.906718 2.72122
336 0.907593 0.905577 0.906051 2.71922
337 0.906935 0.904903 0.905385 2.71722
338 0.906276 0.904229 0.904719 2.71522
339 0.905618 0.903557 0.904054 2.71323
340 0.90496 0.902887 0.903391 2.71124
341 0.904302 0.902219 0.902728 2.70925
342 0.903645 0.901554 0.902066 2.70726
343 0.902988 0.90089 0.901405 2.70528
344 0.90233 0.90023 0.900745 2.70331
345 0.901673 0.899572 0.900087 2.70133
346 0.901016 0.898917 0.899429 2.69936
347 0.900359 0.898265 0.898773 2.6974
348 0.899702 0.897615 0.898118 2.69543
349 0.899044 0.896968 0.897464 2.69348
350 0.898386 0.896324 0.896812 2.69152
351 0.897728 0.895682 0.896161 2.68957
352 0.89707 0.895043 0.895511 2.68762
353 0.896412 0.894405 0.894863 2.68568
354 0.895754 0.89377 0.894217 2.68374
355 0.895096 0.893135 0.893572 2.6818
356 0.894438 0.892503 0.892928 2.67987
357 0.893781 0.891871 0.892286 2.67794
358 0.893124 0.891241 0.891645 2.67601
359 0.892468 0.890611 0.891005 2.67408
360 0.891813 0.889982 0.890367 2.67216
361 0.891158 0.889353 0.889729 2.67024
362 0.890505 0.888725 0.889092 2.66832
363 0.889852 0.888096 0.888455 2.6664
364 0.8892 0.887468 0.887818 2.66449
365 0.888548 0.886839 0.887182 2.66257
366 0.887897 0.886209 0.886545 2.66065
367 0.887247 0.885579 0.885909 2.65873
368 0.886596 0.884947 0.885271 2.65682
369 0.885946 0.884315 0.884634 2.6549
370 0.885296 0.883682 0.883995 2.65297
371 0.884646 0.883048 0.883356 2.65105
372 0.883996 0.882413 0.882715 2.64912
373 0.883345 0.881777 0.882074 2.6472
374 0.882694 0.88114 0.881432 2.64527
375 0.882042 0.880501 0.880789 2.64333
376 0.88139 0.879861 0.880145 2.6414
377 0.880738 0.87922 0.8795 2.63946
378 0.880085 0.878578 0.878855 2.63752
379 0.879432 0.877935 0.878209 2.63558
380 0.878778 0.877291 0.877563 2.63363
381 0.878124 0.876645 0.876917 2.63169
382 0.877469 0.875999 0.876271 2.62974
383 0.876815 0.875351 0.875625 2.62779
384 0.87616 0.874702 0.874979 2.62584
385 0.875505 0.874053 0.874335 2.62389
386 0.874849 0.873403 0.87369 2.62194
387 0.874194 0.872753 0.873047 2.61999
388 0.873538 0.872103 0.872404 2.61804
389 0.872882 0.871453 0.871761 2.6161
390 0.872227 0.870802 0.87112 2.61415
391 0.871571 0.870153 0.870479 2.6122
392 0.870915 0.869503 0.869839 2.61026
393 0.87026 0.868854 0.8692 2.60831
394 0.869604 0.868206 0.868562 2.60637
395 0.868949 0.867559 0.867924 2.60443
396 0.868295 0.866912 0.867287 2.60249
397 0.867641 0.866266 0.866651 2.60056
398 0.866988 0.865621 0.866015 2.59862
399 0.866337 0.864977 0.86538 2.59669
400 0.865686 0.864334 0.864745 2.59477
401 0.865037 0.863691 0.864111 2.59284
402 0.86439 0.86305 0.863477 2.59092
403 0.863744 0.862409 0.862844 2.589
404 0.8631 0.86177 0.862211 2.58708
405 0.862457 0.861131 0.861578 2.58517
406 0.861816 0.860493 0.860945 2.58325
407 0.861176 0.859856 0.860312 2.58134
408 0.860538 0.85922 0.85968 2.57944
409 0.8599 0.858584 0.859047 2.57753
410 0.859264 0.857949 0.858415 2.57563
411 0.858629 0.857315 0.857783 2.57373
412 0.857994 0.856681 0.857151 2.57183
413 0.85736 0.856048 0.856519 2.56993
414 0.856726 0.855414 0.855887 2.56803
415 0.856092 0.854781 0.855255 2.56613
416 0.855458 0.854149 0.854622 2.56423
417 0.854824 0.853516 0.853989 2.56233
418 0.85419 0.852884 0.853356 2.56043
419 0.853555 0.852251 0.852722 2.55853
420 0.85292 0.851619 0.852088 2.55663
421 0.852284 0.850987 0.851453 2.55472
422 0.851647 0.850356 0.850818 2.55282
423 0.851008 0.849724 0.850183 2.55092
424 0.850369 0.849092 0.849547 2.54901
425 0.849729 0.848461 0.848911 2.5471
426 0.849087 0.847829 0.848275 2.54519
427 0.848444 0.847198 0.84764 2.54328
428 0.8478 0.846566 0.847004 2.54137
429 0.847155 0.845935 0.846369 2.53946
430 0.846508 0.845303 0.845734 2.53754
431 0.84586 0.844671 0.845099 2.53563
432 0.845212 0.844039 0.844465 2.53372
433 0.844562 0.843407 0.843831 2.5318
434 0.843912 0.842775 0.843199 2.52989
435 0.843262 0.842142 0.842566 2.52797
436 0.842612 0.841509 0.841934 2.52606
437 0.841962 0.840876 0.841303 2.52414
438 0.841313 0.840243 0.840672 2.52223
439 0.840665 0.83961 0.840042 2.52032
440 0.840017 0.838977 0.839412 2.51841
441 0.83937 0.838344 0.838783 2.5165
442 0.838725 0.837711 0.838154 2.51459
443 0.838081 0.837079 0.837525 2.51269
444 0.837439 0.836447 0.836898 2.51078
445 0.836797 0.835816 0.83627 2.50888
446 0.836158 0.835186 0.835644 2.50699
447 0.835519 0.834557 0.835018 2.50509
448 0.834882 0.833928 0.834393 2.5032
449 0.834246 0.833301 0.833769 2.50132
450 0.833611 0.832676 0.833146 2.49943
451 0.832978 0.832052 0.832525 2.49755
452 0.832346 0.831429 0.831904 2.49568
453 0.831715 0.830807 0.831285 2.49381
454 0.831086 0.830188 0.830667 2.49194
455 0.830457 0.829569 0.83005 2.49008
456 0.82983 0.828952 0.829435 2.48822
457 0.829205 0.828335 0.82882 2.48636
458 0.82858 0.82772 0.828205 2.48451
459 0.827957 0.827106 0.827591 2.48265
460 0.827335 0.826492 0.826978 2.48081
461 0.826715 0.825878 0.826365 2.47896
462 0.826096 0.825265 0.825752 2.47711
463 0.825478 0.824652 0.825139 2.47527
464 0.824861 0.82404 0.824526 2.47343
465 0.824245 0.823427 0.823913 2.47158
466 0.823631 0.822813 0.8233 2.46974
467 0.823017 0.8222 0.822686 2.4679
468 0.822404 0.821586 0.822073 2.46606
469 0.821792 0.820972 0.821459 2.46422
470 0.821181 0.820358 0.820844 2.46238
471 0.820571 0.819743 0.82023 2.46054
